Code obligation,Nom,Date émission,Date maturité,Cours du jour en valeur,Coupon Couru,Dernier paiement (Date/Valeur du coupon),Organization,start,end,interest,last_payment_date,last_payment_value
CRRH.O3,CRRH-UEMOA 6% 2013-2023,07/04/2014,,10 000,8197,"26/04/2023 / 300,00",CRRH-UEMOA,2013,2023,6,26/04/2023,/
CRRH.O4,CRRH-UEMOA 6% 2014-2024,26/05/2015,,10 000,27527,"30/12/2022 / 300,00",CRRH-UEMOA,2014,2024,6,30/12/2022,/
CRRH.O5,"CRRH-UEMOA 5,85% 2015-2025",23/03/2016,,9 999,25961,"04/01/2023 / 290,06",CRRH-UEMOA,2015,2025,5.85,04/01/2023,/
CRRH.O6,CRRH-UEMOA 5.85% 2016-2026,05/07/2017,,10 230,26341,"03/01/2023 / 292,50",CRRH-UEMOA,2016,2026,5.85,03/01/2023,/
CRRH.O7,"CRRH-UEMOA 5,95% 2017-2029",06/03/2018,,5 417,2540,"17/05/2023 / 161,15",CRRH-UEMOA,2017,2029,5.95,17/05/2023,/
CRRH.O8,"CRRH-UEMOA 5,95% 2018-2030",27/06/2019,,6 667,19179,"21/12/2022 / 198,33",CRRH-UEMOA,2018,2030,5.95,21/12/2022,/
CRRH.O9,"CRRH-UEMOA 6,05% 2018-2033",27/06/2019,,7 333,21452,"21/12/2022 / 221,83",CRRH-UEMOA,2018,2033,6.05,21/12/2022,/
EOM.O1,"ETAT DU MALI 6,20% 2016-2023",01/09/2016,,1 665,10153,"23/05/2022 / 103,23",ETAT DU MALI,2016,2023,6.20,23/05/2022,/
EOM.O10,"ETAT DU MALI 6,20% 2022-2029",15/02/2023,,10 000,31934,"09/12/2022 / 620,00",ETAT DU MALI,2022,2029,6.20,09/12/2022,/
EOM.O11,"ETAT DU MALI 6,40% 2023-2030",17/05/2023,,10 000,12066,"07/04/2023 / 640,00",ETAT DU MALI,2023,2030,6.40,07/04/2023,/
EOM.O2,ETAT DU MALI 6.50% 2017-2024,31/08/2017,,2 000,1989,"20/04/2023 / 130,00",ETAT DU MALI,2017,2024,6.50,20/04/2023,/
EOM.O3,"ETAT DU MALI 6,50% 2018-2025",02/04/2019,,5 999,36044,"05/10/2022 / 520,00",ETAT DU MALI,2018,2025,6.50,05/10/2022,/
EOM.O4,"ETAT DU MALI 6,50% 2019-2027",05/09/2019,,10 000,60192,"12/07/2022 / 650,00",ETAT DU MALI,2019,2027,6.50,12/07/2022,/
EOM.O5,"ETAT DU MALI 6,50% 2020-2028",11/06/2020,,10 000,14208,"27/03/2023 / 650,00",ETAT DU MALI,2020,2028,6.50,27/03/2023,/
